集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2021,01,北海道,C,鉱業，採石業，砂利採取業,年齢計,28.4,51.42,392.22
2021,01,北海道,C,鉱業，採石業，砂利採取業,～19歳,19.29,0,231.48
2021,01,北海道,C,鉱業，採石業，砂利採取業,20～24歳,21.36,79.22,335.54
2021,01,北海道,C,鉱業，採石業，砂利採取業,25～29歳,24.77,73.03,370.27
2021,01,北海道,C,鉱業，採石業，砂利採取業,30～34歳,28.24,93.71,432.59
2021,01,北海道,C,鉱業，採石業，砂利採取業,35～39歳,26.86,79.93,402.25
2021,01,北海道,C,鉱業，採石業，砂利採取業,40～44歳,28.53,48.08,390.44
2021,01,北海道,C,鉱業，採石業，砂利採取業,45～49歳,29.02,75.3,423.54
2021,01,北海道,C,鉱業，採石業，砂利採取業,50～54歳,32.64,49.92,441.6
2021,01,北海道,C,鉱業，採石業，砂利採取業,55～59歳,30.51,41.38,407.5
2021,01,北海道,C,鉱業，採石業，砂利採取業,60～64歳,25.06,49.41,350.13
2021,01,北海道,C,鉱業，採石業，砂利採取業,65～69歳,28.55,19.67,362.27
2021,01,北海道,C,鉱業，採石業，砂利採取業,70歳～,21.91,50,312.92
2021,01,北海道,D,建設業,年齢計,30.19,74.51,436.79
2021,01,北海道,D,建設業,～19歳,17.9,11.41,226.21
2021,01,北海道,D,建設業,20～24歳,22.71,51.75,324.27
2021,01,北海道,D,建設業,25～29歳,23.61,82.57,365.89
2021,01,北海道,D,建設業,30～34歳,27.1,78.83,404.03
2021,01,北海道,D,建設業,35～39歳,28.3,97.21,436.81
2021,01,北海道,D,建設業,40～44歳,34.07,91.5,500.34
2021,01,北海道,D,建設業,45～49歳,34.79,102.66,520.14
2021,01,北海道,D,建設業,50～54歳,33.86,89.26,495.58
2021,01,北海道,D,建設業,55～59歳,32.86,66.99,461.31
2021,01,北海道,D,建設業,60～64歳,32.54,56.98,447.46
2021,01,北海道,D,建設業,65～69歳,27.57,31.54,362.38
2021,01,北海道,D,建設業,70歳～,24.29,21.04,312.52
2021,01,北海道,E,製造業,年齢計,25.3,73.07,376.67
2021,01,北海道,E,製造業,～19歳,17.52,18.46,228.7
2021,01,北海道,E,製造業,20～24歳,17.92,33.58,248.62
2021,01,北海道,E,製造業,25～29歳,20.36,54.97,299.29
2021,01,北海道,E,製造業,30～34歳,24.3,77.89,369.49
2021,01,北海道,E,製造業,35～39歳,25.68,85.72,393.88
2021,01,北海道,E,製造業,40～44歳,26.86,88.15,410.47
2021,01,北海道,E,製造業,45～49歳,29.08,99.9,448.86
2021,01,北海道,E,製造業,50～54歳,32.05,99.25,483.85
2021,01,北海道,E,製造業,55～59歳,30.34,90.64,454.72
2021,01,北海道,E,製造業,60～64歳,22.18,41.87,308.03
2021,01,北海道,E,製造業,65～69歳,19.67,25.81,261.85
2021,01,北海道,E,製造業,70歳～,17.66,15.37,227.29
2021,01,北海道,F,電気・ガス・熱供給・水道業,年齢計,34.28,124.82,536.18
2021,01,北海道,F,電気・ガス・熱供給・水道業,～19歳,16.41,25.96,222.88
2021,01,北海道,F,電気・ガス・熱供給・水道業,20～24歳,20.29,51.94,295.42
2021,01,北海道,F,電気・ガス・熱供給・水道業,25～29歳,24.61,85.15,380.47
2021,01,北海道,F,電気・ガス・熱供給・水道業,30～34歳,31.6,111.14,490.34
2021,01,北海道,F,電気・ガス・熱供給・水道業,35～39歳,34.65,121.8,537.6
2021,01,北海道,F,電気・ガス・熱供給・水道業,40～44歳,39.14,148.26,617.94
2021,01,北海道,F,電気・ガス・熱供給・水道業,45～49歳,42.16,155.59,661.51
2021,01,北海道,F,電気・ガス・熱供給・水道業,50～54歳,46.43,176.98,734.14
2021,01,北海道,F,電気・ガス・熱供給・水道業,55～59歳,42.23,161.58,668.34
2021,01,北海道,F,電気・ガス・熱供給・水道業,60～64歳,23.51,104.21,386.33
2021,01,北海道,F,電気・ガス・熱供給・水道業,65～69歳,20.63,11.45,259.01
2021,01,北海道,F,電気・ガス・熱供給・水道業,70歳～,-,-,-
2021,01,北海道,G,情報通信業,年齢計,32.6,105.14,496.34
2021,01,北海道,G,情報通信業,～19歳,19.42,32.32,265.36
2021,01,北海道,G,情報通信業,20～24歳,21.63,35.18,294.74
2021,01,北海道,G,情報通信業,25～29歳,23.89,81.81,368.49
2021,01,北海道,G,情報通信業,30～34歳,27.84,83.53,417.61
2021,01,北海道,G,情報通信業,35～39歳,27.66,92.49,424.41
2021,01,北海道,G,情報通信業,40～44歳,33.66,119.84,523.76
2021,01,北海道,G,情報通信業,45～49歳,35,115.61,535.61
2021,01,北海道,G,情報通信業,50～54歳,43.67,148.46,672.5
2021,01,北海道,G,情報通信業,55～59歳,42.63,154.15,665.71
2021,01,北海道,G,情報通信業,60～64歳,27.91,74.92,409.84
2021,01,北海道,G,情報通信業,65～69歳,33.27,14.87,414.11
2021,01,北海道,G,情報通信業,70歳～,17.77,60.38,273.62
2021,01,北海道,H,運輸業，郵便業,年齢計,24.41,60.98,353.9
2021,01,北海道,H,運輸業，郵便業,～19歳,17.41,3.65,212.57
2021,01,北海道,H,運輸業，郵便業,20～24歳,18.71,35.49,260.01
2021,01,北海道,H,運輸業，郵便業,25～29歳,21.81,64.26,325.98
2021,01,北海道,H,運輸業，郵便業,30～34歳,23.67,59.74,343.78
2021,01,北海道,H,運輸業，郵便業,35～39歳,25.21,57.04,359.56
2021,01,北海道,H,運輸業，郵便業,40～44歳,26.75,66.44,387.44
2021,01,北海道,H,運輸業，郵便業,45～49歳,24.59,64,359.08
2021,01,北海道,H,運輸業，郵便業,50～54歳,26.13,73.5,387.06
2021,01,北海道,H,運輸業，郵便業,55～59歳,26.49,77.89,395.77
2021,01,北海道,H,運輸業，郵便業,60～64歳,23.46,51.91,333.43
2021,01,北海道,H,運輸業，郵便業,65～69歳,19.32,14.99,246.83
2021,01,北海道,H,運輸業，郵便業,70歳～,15.87,2.47,192.91
2021,01,北海道,I,卸売業，小売業,年齢計,26.73,68.13,388.89
2021,01,北海道,I,卸売業，小売業,～19歳,17.9,11.23,226.03
2021,01,北海道,I,卸売業，小売業,20～24歳,19.71,42.59,279.11
2021,01,北海道,I,卸売業，小売業,25～29歳,21.52,56.96,315.2
2021,01,北海道,I,卸売業，小売業,30～34歳,25.58,69.26,376.22
2021,01,北海道,I,卸売業，小売業,35～39歳,26.63,72.85,392.41
2021,01,北海道,I,卸売業，小売業,40～44歳,28.27,83.39,422.63
2021,01,北海道,I,卸売業，小売業,45～49歳,29.09,88.9,437.98
2021,01,北海道,I,卸売業，小売業,50～54歳,29.41,73.94,426.86
2021,01,北海道,I,卸売業，小売業,55～59歳,30.72,77.3,445.94
2021,01,北海道,I,卸売業，小売業,60～64歳,26.15,34.98,348.78
