集計年,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,C,鉱業，採石業，砂利採取業,年齢計,31.0115,91.5266,463.6649
2010,C,鉱業，採石業，砂利採取業,～19歳,18.3745,25.8164,246.3109
2010,C,鉱業，採石業，砂利採取業,20～24歳,20.4155,65.8033,310.7887
2010,C,鉱業，採石業，砂利採取業,25～29歳,24.8376,74.6948,372.746
2010,C,鉱業，採石業，砂利採取業,30～34歳,27.6864,71.7696,404.006
2010,C,鉱業，採石業，砂利採取業,35～39歳,30.3817,86.7332,451.3134
2010,C,鉱業，採石業，砂利採取業,40～44歳,32.1821,99.3884,485.5742
2010,C,鉱業，採石業，砂利採取業,45～49歳,35.0691,119.9877,540.8167
2010,C,鉱業，採石業，砂利採取業,50～54歳,36.9465,130.7124,574.0699
2010,C,鉱業，採石業，砂利採取業,55～59歳,34.3052,105.6471,517.3097
2010,C,鉱業，採石業，砂利採取業,60～64歳,25.7412,40.1988,349.0928
2010,C,鉱業，採石業，砂利採取業,65～69歳,22.6156,20.3076,291.6947
2010,C,鉱業，採石業，砂利採取業,70歳～,21.362,3.02,259.364
2010,D,建設業,年齢計,30.8881,60.0178,430.6753
2010,D,建設業,～19歳,17.7864,10.4887,223.9253
2010,D,建設業,20～24歳,19.961,32.9018,272.434
2010,D,建設業,25～29歳,23.2731,42.8778,322.1554
2010,D,建設業,30～34歳,26.883,51.5702,374.1656
2010,D,建設業,35～39歳,30.4664,63.4493,429.0465
2010,D,建設業,40～44歳,34.1169,69.6698,479.073
2010,D,建設業,45～49歳,36.1713,78.1958,512.2514
2010,D,建設業,50～54歳,37.0266,77.5027,521.8214
2010,D,建設業,55～59歳,36.4481,72.255,509.6324
2010,D,建設業,60～64歳,29.0741,44.1169,393.0064
2010,D,建設業,65～69歳,25.3676,29.9805,334.3915
2010,D,建設業,70歳～,22.0672,9.6717,274.4787
2010,E,製造業,年齢計,29.0328,82.8626,431.2562
2010,E,製造業,～19歳,16.9874,15.9455,219.7944
2010,E,製造業,20～24歳,18.7834,40.9553,266.3563
2010,E,製造業,25～29歳,22.1355,55.4277,321.054
2010,E,製造業,30～34歳,25.2483,69.9069,372.8863
2010,E,製造業,35～39歳,28.6676,83.2807,427.2913
2010,E,製造業,40～44歳,32.4704,98.4476,488.0928
2010,E,製造業,45～49歳,35.6168,113.4914,540.8927
2010,E,製造業,50～54歳,36.2816,114.1271,549.5068
2010,E,製造業,55～59歳,34.8354,104.2531,522.2784
2010,E,製造業,60～64歳,23.7409,48.3688,333.2593
2010,E,製造業,65～69歳,21.4468,25.2914,282.6528
2010,E,製造業,70歳～,19.7076,19.7623,256.2531
2010,F,電気・ガス・熱供給・水道業,年齢計,39.8338,160.0032,638.0089
2010,F,電気・ガス・熱供給・水道業,～19歳,17.5163,29.9142,240.1098
2010,F,電気・ガス・熱供給・水道業,20～24歳,20.5212,66.255,312.51
2010,F,電気・ガス・熱供給・水道業,25～29歳,26.5215,100.9853,419.2428
2010,F,電気・ガス・熱供給・水道業,30～34歳,32.0706,126.7607,511.6085
2010,F,電気・ガス・熱供給・水道業,35～39歳,38.0422,150.9005,607.4067
2010,F,電気・ガス・熱供給・水道業,40～44歳,44.5889,180.8048,715.8717
2010,F,電気・ガス・熱供給・水道業,45～49歳,50.3098,212.1573,815.8748
2010,F,電気・ガス・熱供給・水道業,50～54歳,52.5575,222.2127,852.9029
2010,F,電気・ガス・熱供給・水道業,55～59歳,49.2981,201.6239,793.2014
2010,F,電気・ガス・熱供給・水道業,60～64歳,27.9555,98.4223,433.8881
2010,F,電気・ガス・熱供給・水道業,65～69歳,25.1376,71.8272,373.4784
2010,F,電気・ガス・熱供給・水道業,70歳～,30.1,10.94,372.14
2010,G,情報通信業,年齢計,36.3163,110.8971,546.6921
2010,G,情報通信業,～19歳,16.6227,6.36,205.8322
2010,G,情報通信業,20～24歳,22.113,35.7414,301.0973
2010,G,情報通信業,25～29歳,25.0491,66.3652,366.9547
