集計年,産業大分類コード,産業大分類名,業種中分類コード,業種中分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,E,製造業,09,食料品製造業,年齢計,23.1516,54.0802,331.8996
2010,E,製造業,09,食料品製造業,～19歳,15.6792,13.114,201.264
2010,E,製造業,09,食料品製造業,20～24歳,16.9485,31.4626,234.8442
2010,E,製造業,09,食料品製造業,25～29歳,19.9268,45.651,284.7725
2010,E,製造業,09,食料品製造業,30～34歳,22.9204,62.033,337.0775
2010,E,製造業,09,食料品製造業,35～39歳,25.2072,67.5758,370.062
2010,E,製造業,09,食料品製造業,40～44歳,25.9052,66.5808,377.4433
2010,E,製造業,09,食料品製造業,45～49歳,27.488,69.8131,399.6691
2010,E,製造業,09,食料品製造業,50～54歳,25.8431,62.8606,372.9775
2010,E,製造業,09,食料品製造業,55～59歳,24.9897,54.8186,354.6949
2010,E,製造業,09,食料品製造業,60～64歳,17.6768,24.4247,236.5461
2010,E,製造業,09,食料品製造業,65～69歳,15.7279,10.2785,199.0131
2010,E,製造業,09,食料品製造業,70歳～,15.3961,13.2707,198.0235
2010,E,製造業,10,飲料・たばこ・飼料製造業,年齢計,28.6802,93.8844,438.0464
2010,E,製造業,10,飲料・たばこ・飼料製造業,～19歳,16.9303,8.5591,211.7233
2010,E,製造業,10,飲料・たばこ・飼料製造業,20～24歳,18.8845,41.4598,268.0738
2010,E,製造業,10,飲料・たばこ・飼料製造業,25～29歳,22.0704,66.9172,331.7615
2010,E,製造業,10,飲料・たばこ・飼料製造業,30～34歳,23.8186,71.5931,357.4158
2010,E,製造業,10,飲料・たばこ・飼料製造業,35～39歳,27.6267,90.3167,421.8374
2010,E,製造業,10,飲料・たばこ・飼料製造業,40～44歳,32.1292,115.2875,500.8382
2010,E,製造業,10,飲料・たばこ・飼料製造業,45～49歳,35.2332,138.9071,561.7058
2010,E,製造業,10,飲料・たばこ・飼料製造業,50～54歳,35.3821,128.6941,553.2792
2010,E,製造業,10,飲料・たばこ・飼料製造業,55～59歳,32.3741,102.0134,490.5025
2010,E,製造業,10,飲料・たばこ・飼料製造業,60～64歳,23.8199,42.3447,328.1835
2010,E,製造業,10,飲料・たばこ・飼料製造業,65～69歳,21.852,35.975,298.1995
2010,E,製造業,10,飲料・たばこ・飼料製造業,70歳～,17.1766,11.5424,217.661
2010,E,製造業,11,繊維工業,年齢計,22.7985,39.7597,313.342
2010,E,製造業,11,繊維工業,～19歳,14.9284,8.4874,187.6279
2010,E,製造業,11,繊維工業,20～24歳,15.642,20.8689,208.5726
2010,E,製造業,11,繊維工業,25～29歳,19.3101,35.4544,267.1754
2010,E,製造業,11,繊維工業,30～34歳,22.0518,41.1361,305.7577
2010,E,製造業,11,繊維工業,35～39歳,23.767,51.3998,336.6038
2010,E,製造業,11,繊維工業,40～44歳,26.0233,48.8558,361.1348
2010,E,製造業,11,繊維工業,45～49歳,25.8479,50.7209,360.896
2010,E,製造業,11,繊維工業,50～54歳,26.2157,51.0717,365.6602
2010,E,製造業,11,繊維工業,55～59歳,24.8318,36.0396,334.0218
2010,E,製造業,11,繊維工業,60～64歳,18.7049,16.3367,240.7956
2010,E,製造業,11,繊維工業,65～69歳,17.9146,8.6373,223.6126
2010,E,製造業,11,繊維工業,70歳～,15.656,14.3471,202.2185
2010,E,製造業,12,木材・木製品製造業（家具を除く）,年齢計,23.3737,31.3163,311.8007
2010,E,製造業,12,木材・木製品製造業（家具を除く）,～19歳,15.1023,3.4966,184.7246
2010,E,製造業,12,木材・木製品製造業（家具を除く）,20～24歳,17.7761,21.9884,235.3017
2010,E,製造業,12,木材・木製品製造業（家具を除く）,25～29歳,19.5582,29.8182,264.5166
2010,E,製造業,12,木材・木製品製造業（家具を除く）,30～34歳,21.9778,34.2926,298.0266
2010,E,製造業,12,木材・木製品製造業（家具を除く）,35～39歳,24.2568,37.0085,328.0901
2010,E,製造業,12,木材・木製品製造業（家具を除く）,40～44歳,25.894,40.8934,351.6218
2010,E,製造業,12,木材・木製品製造業（家具を除く）,45～49歳,25.8128,36.3503,346.1043
2010,E,製造業,12,木材・木製品製造業（家具を除く）,50～54歳,26.3067,36.4377,352.1186
2010,E,製造業,12,木材・木製品製造業（家具を除く）,55～59歳,25.9729,30.0152,341.6903
2010,E,製造業,12,木材・木製品製造業（家具を除く）,60～64歳,21.621,18.4517,277.9039
2010,E,製造業,12,木材・木製品製造業（家具を除く）,65～69歳,18.9717,10.8971,238.5572
2010,E,製造業,12,木材・木製品製造業（家具を除く）,70歳～,18.0151,7.9948,224.1763
2010,E,製造業,13,家具・装備品製造業,年齢計,26.1358,44.2335,357.863
2010,E,製造業,13,家具・装備品製造業,～19歳,16.7814,15.1797,216.5561
2010,E,製造業,13,家具・装備品製造業,20～24歳,18.8526,24.1753,250.4069
2010,E,製造業,13,家具・装備品製造業,25～29歳,20.8092,35.6027,285.3136
2010,E,製造業,13,家具・装備品製造業,30～34歳,24.0458,47.2133,335.7626
2010,E,製造業,13,家具・装備品製造業,35～39歳,27.3597,54.1395,382.4554
2010,E,製造業,13,家具・装備品製造業,40～44歳,29.6753,54.0228,410.1258
2010,E,製造業,13,家具・装備品製造業,45～49歳,29.8212,54.9208,412.775
2010,E,製造業,13,家具・装備品製造業,50～54歳,31.0952,48.4826,421.6253
2010,E,製造業,13,家具・装備品製造業,55～59歳,28.8771,42.0705,388.5962
2010,E,製造業,13,家具・装備品製造業,60～64歳,21.845,22.5167,284.6572
2010,E,製造業,13,家具・装備品製造業,65～69歳,21.1591,25.4623,279.3715
2010,E,製造業,13,家具・装備品製造業,70歳～,17.4362,11.645,220.8788
2010,E,製造業,14,パルプ・紙・紙加工品製造業,年齢計,27.2971,82.3525,409.9174
2010,E,製造業,14,パルプ・紙・紙加工品製造業,～19歳,16.8156,15.7285,217.5153
2010,E,製造業,14,パルプ・紙・紙加工品製造業,20～24歳,18.8872,48.3454,274.9922
2010,E,製造業,14,パルプ・紙・紙加工品製造業,25～29歳,21.4166,60.9444,317.943
2010,E,製造業,14,パルプ・紙・紙加工品製造業,30～34歳,24.6717,77.8527,373.9132
2010,E,製造業,14,パルプ・紙・紙加工品製造業,35～39歳,27.235,84.6261,411.4465
2010,E,製造業,14,パルプ・紙・紙加工品製造業,40～44歳,29.7053,95.2988,451.7619
2010,E,製造業,14,パルプ・紙・紙加工品製造業,45～49歳,32.544,100.1675,490.6951
2010,E,製造業,14,パルプ・紙・紙加工品製造業,50～54歳,33.4166,105.329,506.3282
2010,E,製造業,14,パルプ・紙・紙加工品製造業,55～59歳,33.5199,106.7501,508.9893
2010,E,製造業,14,パルプ・紙・紙加工品製造業,60～64歳,21.8987,45.8408,308.6254
2010,E,製造業,14,パルプ・紙・紙加工品製造業,65～69歳,21.0324,47.2715,299.6606
2010,E,製造業,14,パルプ・紙・紙加工品製造業,70歳～,17.8627,41.0972,255.449
2010,E,製造業,15,印刷・同関連業,年齢計,27.4847,48.7851,378.6017
2010,E,製造業,15,印刷・同関連業,～19歳,17.9077,4.6251,219.5178
2010,E,製造業,15,印刷・同関連業,20～24歳,19.2103,29.6594,260.1825
2010,E,製造業,15,印刷・同関連業,25～29歳,24.0785,29.459,318.4015
2010,E,製造業,15,印刷・同関連業,30～34歳,24.8968,46.1955,344.9567
2010,E,製造業,15,印刷・同関連業,35～39歳,27.8048,54.5576,388.2156
2010,E,製造業,15,印刷・同関連業,40～44歳,28.7869,56.7315,402.1738
2010,E,製造業,15,印刷・同関連業,45～49歳,33.2114,62.5029,461.0402
2010,E,製造業,15,印刷・同関連業,50～54歳,34.2751,70.7659,482.0671
2010,E,製造業,15,印刷・同関連業,55～59歳,32.6497,53.2266,445.0233
2010,E,製造業,15,印刷・同関連業,60～64歳,22.1649,36.8135,302.7928
2010,E,製造業,15,印刷・同関連業,65～69歳,18.7474,7.4274,232.3959
2010,E,製造業,15,印刷・同関連業,70歳～,17.1463,1.5,207.2561
2010,E,製造業,16,化学工業,年齢計,34.731,124.4167,541.189
2010,E,製造業,16,化学工業,～19歳,17.662,22.0512,233.9957
2010,E,製造業,16,化学工業,20～24歳,20.3978,48.2712,293.0445
2010,E,製造業,16,化学工業,25～29歳,23.8922,68.0543,354.7611
2010,E,製造業,16,化学工業,30～34歳,28.0653,93.8135,430.5968
2010,E,製造業,16,化学工業,35～39歳,32.2059,115.3884,501.8587
2010,E,製造業,16,化学工業,40～44歳,39.214,155.952,626.5203
2010,E,製造業,16,化学工業,45～49歳,44.5129,170.9842,705.1387
2010,E,製造業,16,化学工業,50～54歳,46.4359,188.0158,745.247
