集計年,都道府県コード,都道府県名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,01,北海道,年齢計,26.09,63.21,376.29
2010,01,北海道,～19歳,15.29,13.33,196.81
2010,01,北海道,20～24歳,18.2,27.06,245.46
2010,01,北海道,25～29歳,21.11,43.19,296.51
2010,01,北海道,30～34歳,24.06,51.67,340.39
2010,01,北海道,35～39歳,26.76,67.2,388.32
2010,01,北海道,40～44歳,28.75,76.65,421.65
2010,01,北海道,45～49歳,30.94,91.52,462.8
2010,01,北海道,50～54歳,32.34,89.58,477.66
2010,01,北海道,55～59歳,29.99,81.15,441.03
2010,01,北海道,60～64歳,22.98,42.75,318.51
2010,01,北海道,65～69歳,20.8,26.73,276.33
2010,01,北海道,70歳～,19.55,16.81,251.41
2010,02,青森県,年齢計,22.39,41.29,309.97
2010,02,青森県,～19歳,14.66,8.24,184.16
2010,02,青森県,20～24歳,16.51,23.25,221.37
2010,02,青森県,25～29歳,18.47,33.75,255.39
2010,02,青森県,30～34歳,20.34,39.56,283.64
2010,02,青森県,40～44歳,23.99,49.77,337.65
2010,02,青森県,35～39歳,22.51,42.6,312.72
2010,02,青森県,45～49歳,25.36,51.75,356.07
2010,02,青森県,50～54歳,26.69,54.31,374.59
2010,02,青森県,55～59歳,25.51,43.42,349.54
2010,02,青森県,60～64歳,19.44,24.97,258.25
2010,02,青森県,65～69歳,20.11,15.5,256.82
2010,02,青森県,70歳～,22.25,46.11,313.11
2010,03,岩手県,年齢計,23.31,46.33,326.05
2010,03,岩手県,～19歳,14.94,10,189.28
2010,03,岩手県,20～24歳,16.62,24.29,223.73
2010,03,岩手県,25～29歳,18.85,35.92,262.12
2010,03,岩手県,30～34歳,22.25,43.27,310.27
2010,03,岩手県,35～39歳,23.26,48.13,327.25
2010,03,岩手県,40～44歳,25.77,54.77,364.01
2010,03,岩手県,45～49歳,26.77,62.68,383.92
2010,03,岩手県,50～54歳,26.42,58.97,376.01
2010,03,岩手県,55～59歳,25.9,51.15,361.95
2010,03,岩手県,60～64歳,20.76,24.27,273.39
